Country Name,Time,GDP (current US$),GDP growth (annual %),GDP deflator (base year varies by country),"Inflation, consumer prices (annual %)",Real interest rate (%),"Official exchange rate (LCU per US$, period average)",Households and NPISHs Final consumption expenditure (current US$),Gross capital formation (current US$),Gross capital formation (% of GDP),General government final consumption expenditure (current US$),Exports of goods and services (current US$),Imports of goods and services (current US$),"Current account balance (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","External debt stocks, total (DOD, current US$)","Total reserves (includes gold, current US$)","Population, total",Urban population,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Industry (including construction), value added (current US$)","Services, value added (current US$)","Agriculture, forestry, and fishing, value added (current US$)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)","Life expectancy at birth, total (years)",Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Gross savings (% of GDP)
Afghanistan,2000,3521418060,,39.93996101,,,47.35757473,,,,,,,,0.004827601,170000,,,20130327,4444374,7.935,46.571,,,,,,55.005,,,,0,
Afghanistan,2001,2813571754,-9.43197407,35.23721591,,,47.50001452,,,,,,,,0.024168568,680000,,,20284307,4496828,7.953,46.533,,,,0,,55.511,,,0.00472,0,
Afghanistan,2002,3825701439,28.60000117,37.39567933,,,47.263,,,,,,,,1.30694987,50000000,,,21378117,4758983,7.93,46.508,910904371.5,1383035242,1477787815,,,56.225,,,0.00456,0.116942,
Afghanistan,2003,4520946819,8.832277803,41.75423484,,,48.76275358,,,,,,,,1.278493252,57800000,,,22733049,5081518,7.88,46.499,1026746092,1692859668,1691686555,0.544260025,,57.171,,,0.0879,0.879776,
Afghanistan,2004,5224896719,1.414117993,46.46053505,,,47.8453125,,,,,,,,3.577104201,186900000,,,23560654,5301147,7.899,46.507,1370322677,2148001821,1552895062,0.405820012,,57.81,,,0.106,2.54662,
Afghanistan,2005,6203256539,11.22971483,51.53066803,12.68626872,,49.4945975,,,,,,,,4.368673104,271000000,,,24404567,5540569,7.885,46.532,1663223299,2419753109,1930134272,0.547689974,,58.247,,,1.22,4.91711,
Afghanistan,2006,6971758282,5.357403247,55.24074797,6.78459655,10.0468971,49.92533083,,,,,,,,3.413772973,238000000,979344507.8,,25424094,5823897,7.914,46.57,1966786560,2776922737,1996430512,0.573230028,,58.553,,,2.11,9.9133,
Afghanistan,2007,9747886187,13.82631955,67.685249,8.680570785,-3.58511111,49.96201777,,,,,,,,1.935701714,188690000,2023034713,,25909852,5988544,7.817,46.621,2620450317,3927880055,2934602244,0.567200005,,58.956,,,1.9,18.0167,
Afghanistan,2008,10109297048,3.92498382,69.10412726,26.41866415,12.55796014,50.24961474,,,,,,,-238376258.6,0.455360445,46033740,2143951791,3042274496,26482622,6175747,7.878,46.68,2720980787,4590614692,2516433517,0.586019993,,59.708,,,1.84,29.8268,
Afghanistan,2009,12416152732,21.39052839,67.60912551,-6.811161089,17.54292893,50.325,,,,,,,277627586.2,0.451889146,56107246.5,2480214114,4265888740,27466101,6462224,7.754,46.743,2718780137,5617618143,3637622478,0.609610021,,60.248,,,3.55,38.2289,
Afghanistan,2010,15856668556,14.36244147,70.18816371,2.178537524,11.36409374,46.452461,,,,,,,-577708206.8,1.20311799,190774432,2435844906,5162440807,28284089,6713794,7.753,46.811,3353910675,7750640789,4156043696,0.625810027,,60.702,,,4,36.1187,
Afghanistan,2011,17805098206,0.426354777,81.83472908,11.80418581,-1.24150601,46.74700774,,,,,,,-2246921171,0.29302518,52173421,2485331046,6344641960,29347708,7028189,7.784,46.881,4048924287,8848567677,4227582691,0.663450003,47,61.25,,,5,47.0152,
Afghanistan,2012,19907329778,12.75228709,87.8101017,6.441212809,7.174387248,50.9214,,,,,,,-5150161881,0.285440894,56823660,2580623924,7152304398,30560034,7383304,7.856,46.956,4211954444,10069007544,4855571648,0.669250011,,61.735,,,5.45,50.1967,
Afghanistan,2013,20146416758,5.600744659,92.04499454,7.385771784,9.784495939,55.3775,,,,,,,-5095040597,0.239801184,48311346,2587774667,7288702711,31622704,7707402,7.93,47.026,4118855391,10613685059,4595531180,0.655330002,,62.188,,,5.9,53.149,
Afghanistan,2014,20497128556,2.724543362,92.56683861,4.673996035,14.35168934,57.2475,,,,,,,-3232893168,0.209664795,42975262.5,2529865268,7528549880,32792523,8062698,7.915,47.096,4351471362,10861605729,4537457828,0.654020011,,62.26,,,7,56.1322,
Afghanistan,2015,19134221645,1.451314661,94.8324703,-0.661709165,12.25254816,61.14346154,,,,,,,-4192816423,0.884000463,169146608,2596917266,6976966154,33831764,8391292,9.052,47.165,4233263327,10186159051,3948217043,0.642329991,35.82083893,62.27,,,8.26,58.256,
Afghanistan,2016,18116572395,2.260314203,92.74850167,4.383891955,17.58393816,67.86608577,,,,,,,-2708462935,0.516606085,93591315.3,2596050086,7281910524,34700612,8682093,10.133,47.235,1896226793,10692983732,4663262627,0.645669997,,62.646,,,11,62.2553,
Afghanistan,2017,18753456498,2.647003203,94.97785677,4.975951506,12.1411783,68.02690408,,,,,,,-3554897942,0.274796792,51533896.77,2751986639,8097280956,35688935,9011456,11.184,47.305,1885073817,10938713019,4954700542,0.641690016,,62.406,,,13.5,67.0508,
Afghanistan,2018,18053222687,1.189228129,96.94517925,0.626149149,,72.08324718,,,,,,,-3896837604,0.661572218,119435105.7,2678760424,8206682106,36743039,9367638,11.196,45.57,2416829505,10737591607,3979453238,0.636020005,,62.443,,,16.8,59.8109,
Afghanistan,2019,18799444490,3.911603416,103.2674396,2.302372515,,77.73794918,,,,,,,-3791935256,0.124495985,23404553.65,2661685957,8497655795,37856121,9749465,11.185,43.823,2642847031,10428579510,4845363322,,,62.941,,,17.6,59.6471,
Afghanistan,2020,19955929052,-2.351100672,110.4578959,5.601887915,,76.81353644,18419990527,2294931841,11.5,4412100129,2079570875,7241822542,-3136733353,0.064993957,12970147.98,3040072312,9748946327,39068979,10168092,11.71,41.579,2584811587,10491252791,5981905981,,,61.454,,,17,58.0461,-2.737769441
Afghanistan,2021,14259995441,-20.73883937,113.5937914,5.133203408,,,12617004787,1853799407,13,3032015044,2045190335,5286118076,,0.144466947,20600980,3555784340,,40000412,10525708,11.994,40.932,2035422840,6725074083,4791018920,,56,60.417,,,16.5,56.6945,
Afghanistan,2022,14497243872,-6.240171992,124.2786953,13.71210237,,,14150977070,2421039727,16.7,3166994239,2664599571,7901784706,,,,3393247242,,40578842,10800465,14.1,37.64,2326860951,6530995143,4885778832,,62.65999985,65.617,,,17.2,56.2655,
Afghanistan,2023,17152234637,2.266943736,127.9121845,-4.644708708,,,16821368715,2623002461,15.29248239,3638763332,2890629761,8701650584,,,,3428116976,,41454761,11165011,13.991,37.673,2306945150,7954240731,5959243271,,,66.035,,,17.7,55.5475,
Afghanistan,2024,,,,-6.601185641,,,,,,,,,,,,,,42647492,11627839,13.295,37.496,,,,,,,,,,,
