Model,Log_R2,Log_Adjusted_R2,Log_Explained_Variance,Log_MAE,Log_RMSE,Log_MAPE (%),Log_Accuracy_Within_10%,GDP_R2,GDP_Adjusted_R2,GDP_Explained_Variance,GDP_MAE,GDP_RMSE,GDP_MAPE (%),GDP_Accuracy_Within_10%,Runtime (s)
Ridge Regression,1.0,1.0,1.0,0.0,0.0,0.01,100.0,1.0,1.0,1.0,215396924.15,726921453.07,0.13,100.0,0.04
LASSO,1.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,118643528.11,334365201.57,0.04,100.0,0.27
Random Forest,1.0,1.0,1.0,0.0,0.01,0.01,100.0,0.9995,0.9993,0.9995,2172376869.62,21742906341.35,0.3,99.88,37.75
Decision Tree,1.0,0.9999,1.0,0.01,0.02,0.03,100.0,0.9982,0.9976,0.9982,4233615056.05,39784121106.29,0.6,99.77,0.22
XGBoost,0.9999,0.9999,0.9999,0.01,0.02,0.05,100.0,0.9992,0.999,0.9992,5263455433.35,25938744027.47,1.18,99.65,4.17
Gradient Boosting,0.9999,0.9999,0.9999,0.02,0.02,0.07,100.0,0.9994,0.9993,0.9994,5344548900.73,22220187216.7,1.75,100.0,5.54
LightGBM,0.9999,0.9999,0.9999,0.01,0.02,0.06,100.0,0.9996,0.9995,0.9996,4351715566.57,19043835032.95,1.28,99.42,3.82
Linear Regression,0.9942,0.9924,0.9942,0.12,0.18,0.51,100.0,0.9844,0.9797,0.9844,30212927185.3,115911999313.28,12.97,54.52,0.11
K-Nearest Neighbors,0.9314,0.9105,0.9315,0.33,0.6,1.41,99.07,0.9854,0.981,0.9856,34501478631.15,112079302292.86,35.71,27.49,0.08
Support Vector Regression,0.396,0.2121,0.447,1.08,1.79,4.93,86.43,0.8255,0.7724,0.8258,97336685156.23,387770894184.09,3717.93,10.79,5.31
